DEALERSHIP_ID,REGION,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY,PHONE_NUMBER,FAX_NUMBER,EMAIL,GENDER,AGE,NATIVE_LANGUAGE,SECOND_LANGUAGE,THIRD_LANGUAGE,POSITION_TYPE,REGIONAL_MANAGER,DEALERSHIP_MANAGER,HIRE_DATE,DATE_ENTERED
11,Central,86433,Harold,King,630 Mar Vista Dr,Dallas,Texas,93402,United States,8055283030,(805) 528-3030,kharold@xyz.org,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
11,Central,86464,K W,Gibson,2312 Surrey Trl,Dallas,Texas,30349,United States,4045591493,(404) 559-1493,,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
12,Central,86435,William L,Summer,166 S Rockingham Ave,Houston,Texas,90049,United States,3104728191,(310) 472-8191,swilliaml@xyz.org,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
13,Central,86438,Larry,Wilbourn,1014 E 73d,Austin,Texas,90001,United States,3235860724,(323) 586-0724,,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
13,Central,86484,A R,Pearce,10501 Wilshire Blvd,Austin,Texas,90024,United States,3104741314,(310) 474-1314,par@compuserve.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
13,Central,86401,Harold F,King,25640 Moody Rd,Austin,Texas,94022,United States,6509485382,(650) 948-5382,kharoldf@compuserve.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
14,Central,86442,Kirakosyan,Nuretsa,1428 N Normandie Ave,Chicago,Illinois,90027,United States,3236645243,(323) 664-5243,nkirakosyan@yahoo.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
14,Central,86451,Thomas A,Acantilado,2034 S Genesee Ave,Chicago,Illinois,90016,United States,3239365458,(323) 936-5458,,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
14,Central,,,Acantilado,2034 S Genesee Ave,Chicago,Illinois,90016,United States,3239365458,(323) 936-5458,,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
14,Central,86456,Melvin M,Bradley,4070 Morning Trl,Chicago,Illinois,30349,United States,4047666145,(404) 766-6145,,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
14,Central,86480,Alipio,King,7160 W 85th St Apt 1,Chicago,Illinois,90045,United States,3102162982,(310) 216-2982,kalipio@geocities.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
15,Central,86429,Julian,Acebedo,735 S Saint Andrews Pl,Minneapolis,Minnesota,90005,United States,2133807627,(213) 380-7627,,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
15,Central,86455,Michael,Bradley,56 Cobb St,Minneapolis,Minnesota,30301,United States,4047558098,(404) 755-8098,bmichael@hotmail.com,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
15,Central,86476,John H,Ernst,3309 Chase Rd,Minneapolis,Minnesota,30341,United States,7704558118,(770) 455-8118,ejohnh@univ.edu,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
16,Central,86457,Fredia M,Bradford,3093 Washington Rd,Ann Arbour,Michigan,30344,United States,4047626374,(404) 762-6374,,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
16,Central,86489,Roderick W,Teachey,878 Peachtree St Ne,Ann Arbour,Michigan,30309,United States,4048720732,(404) 872-0732,,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
